,MATICUSDT,ETHUSDT,spread,zscore
145,0.863,1697.3,0.12723924636504047,0.3894716278690652
146,0.863,2304.12,-0.1358105035440894,-2.8046629558830225
147,0.863,2296.06,-0.13231658280273684,-2.247137711872533
148,0.863,2213.15,-0.09637601597078349,-1.6316124380126036
149,0.863,1730.08,0.11302947937973795,0.47154581957133157
150,0.863,1716.15,0.11906798011510289,0.531212064326952
151,0.863,1717.47,0.11849577473314443,0.5154395187877057
152,0.863,1725.25,0.11512323089099508,0.4766811325045573
153,0.863,1723.93,0.11569543627295353,0.47442663242449734
154,0.863,1695.08,0.12820159178015245,0.5360770667344809
155,0.863,1716.67,0.11884256587372521,0.3881212703841494
156,0.863,1702.86,0.1248290479380032,0.4472411846340606
157,0.863,1712.58,0.1206155355799452,0.39855307517430966
158,0.863,2615.78,-0.2709116621358951,-2.90581753015356
159,0.86,2627.34,-0.27892279411728904,-2.371928229055126
160,0.86,2610.0,-0.27140609614519795,-1.9629982198263756
161,0.86,2615.56,-0.2738162945722352,-1.7214088120194126
162,0.86,2627.34,-0.27892279411728904,-1.5486577225429372
163,0.86,2610.0,-0.27140609614519795,-1.34988027642858
164,0.86,2602.06,-0.26796419407493255,-1.2026831663871074
165,0.86,2580.19,-0.258483791269302,-1.0457174862823893
166,0.86,2565.45,-0.2520941645040987,-0.919646981122707
167,0.86,2556.63,-0.24827079217919457,-0.8551764371612129
168,0.86,2557.9,-0.2488213231148667,-0.8153252200904473
169,0.86,2659.54,-0.29288113752567047,-0.9713943370777259
170,0.86,2650.91,-0.2891401280966538,-0.865568873924376
171,0.86,2650.91,-0.2891401280966538,-0.7851525211620052
172,0.86,2650.0,-0.28874565317424306,-0.7072830249549162
173,0.86,2639.13,-0.2840336285516002,-0.6090313709763353
174,0.86,2658.77,-0.2925473510528612,-0.587543682833013
175,0.86,2648.81,-0.2882298013526291,-0.49089033338289007
176,0.86,2620.32,-0.2758797018586917,-0.32332619243960264
177,0.86,1705.97,0.12048089737899481,2.987387878473135
178,0.86,1717.72,0.11538740250171287,2.9662058184314475
179,0.86,1724.69,0.11236598468940173,2.352615242905705
180,0.86,1728.63,0.11065803832204069,1.9782624022339916
181,0.86,1715.09,0.11652747837637256,1.7484877386759097
182,0.86,1725.0,0.11223160312242664,1.525395187680671
183,0.86,1812.7,0.07421462433624504,1.1888225416582143
184,0.86,1805.52,0.07732707482295864,1.0936002808079386
185,0.86,1811.38,0.0747868297182035,0.9823952428673609
186,0.86,1803.01,0.07841513202653128,0.9111905304136428
187,0.86,1807.91,0.07629103629047318,0.8186297693526222
188,0.86,1803.01,0.07841513202653128,0.7527122790104749
189,0.86,1806.68,0.07682422766911634,0.6720534959398022
190,0.86,1816.8,0.07243731974076795,0.5777659024730968
191,0.86,1820.7,0.070746712930436,0.4981717360745542
192,0.86,1810.96,0.07496889506700855,0.4506419986440607
193,0.86,2027.41,-0.018859782906412215,-0.21356893501264287
194,0.86,1979.34,0.0019780297532429048,-0.18561469539499142
195,0.86,1971.25,0.005484955162367244,-0.3140169363271997
196,0.86,1902.63,0.035230965245694246,-0.25077339747915467
197,0.86,1814.88,0.07326961847816205,-0.000639208188279439
198,0.86,1806.25,0.07701062790717861,0.15538924678281144
199,0.86,1805.74,0.07723170725929895,0.2180634728122128
